AE SCR 2CFC20 ALARM:6854:-:Average:900;AESCR_ALARM_AVERAGE
AE2 RUN HOURS (1-999:2752:nan:Average:900;testAE2 RUN HOURS (1-999:2752:nan:Average:900
AE2 RUN HOURS (>1000:2753:nan:Average:900;testAE2 RUN HOURS (>1000:2753:nan:Average:900
AE2 RUNNING:25004:-:Average:3600;testAE2 RUNNING:25004:-:Average:3600
AE2 RUNNING:25004:-:Raw data:900;testAE2 RUNNING:25004:-:Raw data:900
AE2 RUNNING:2769:-:Average:3600;testAE2 RUNNING:2769:-:Average:3600
AE2 RUNNING:2769:-:Raw data:900;testAE2 RUNNING:2769:-:Raw data:900
AE2 SCR CF54 RED AG:2941:l/h:Average:900;testAE2 SCR CF54 RED AG:2941:l/h:Average:900
AE2 SCR CP153 COMP A:2918:-:Average:900;testAE2 SCR CP153 COMP A:2918:-:Average:900
AE2 SCR CP154 COMP A:2917:-:Average:900;testAE2 SCR CP154 COMP A:2917:-:Average:900
AE2 SCR CP53 RED AG:2942:bar:Average:900;testAE2 SCR CP53 RED AG:2942:bar:Average:900
AE2 SCR CP58 DIFF PR:2938:mbar:Average:900;testAE2 SCR CP58 DIFF PR:2938:mbar:Average:900
AE2 SCR CT55 TEMP IN:2939:C:Average:900;testAE2 SCR CT55 TEMP IN:2939:C:Average:900
AE2 SCR CT56 TEMP OT:2940:C:Average:900;testAE2 SCR CT56 TEMP OT:2940:C:Average:900
AE2 SCR FUSE FAULT:2946:-:Average:900;testAE2 SCR FUSE FAULT:2946:-:Average:900
AE2 SCR GAS SAMPLE L:2922:-:Average:900;testAE2 SCR GAS SAMPLE L:2922:-:Average:900
AE2 SCR GAS SAMPLE P:2921:-:Average:900;testAE2 SCR GAS SAMPLE P:2921:-:Average:900
AE2 SCR LOAD SIGNAL:2923:-:Average:900;testAE2 SCR LOAD SIGNAL:2923:-:Average:900
AE2 SCR NOX LEVEL:2944:ppm:Average:900;testAE2 SCR NOX LEVEL:2944:ppm:Average:900
AE2 SCR NOX LEVEL:2944CALC:g/kWh:Average:900;testAE2 SCR NOX LEVEL:2944CALC:g/kWh:Average:900
AE2 TC SPEED:2748:RPM:Average:3600;testAE2 TC SPEED:2748:RPM:Average:3600
AE2 TC SPEED:2748:RPM:Average:900;testAE2 TC SPEED:2748:RPM:Average:900
AE2 TC SPEED:2748:RPM:Raw data:900;testAE2 TC SPEED:2748:RPM:Raw data:900
AE2 VOLTAGE:5521:V:Average:900;testAE2 VOLTAGE:5521:V:Average:900
AE2/4 HT PREH PUMP:64154:nan:Average:900;testAE2/4 HT PREH PUMP:64154:nan:Average:900
AE3 CA OTL CAC PRESS:3649:Bar:Average:900;testAE3 CA OTL CAC PRESS:3649:Bar:Average:900
AE3 CA OTL CAC TEMP:3654:  C:Average:900;testAE3 CA OTL CAC TEMP:3654:  C:Average:900
AE3 CAC PRESS DIFF:3652:mBar:Average:900;testAE3 CAC PRESS DIFF:3652:mBar:Average:900
AE3 CYL EXHAUST T:3501_S:C:Average:900;testAE3 CYL EXHAUST T:3501_S:C:Average:900
AE3 CYL1 LINER 1 TEM:3701:  C:Average:900;testAE3 CYL1 LINER 1 TEM:3701:  C:Average:900
AE3 CYL1 LINER 1 TEM:3703:-:Average:900;testAE3 CYL1 LINER 1 TEM:3703:-:Average:900
AE3 CYL1 LINER 2 TEM:3704:  C:Average:900;testAE3 CYL1 LINER 2 TEM:3704:  C:Average:900
AE3 CYL1 LINER 2 TEM:3706:-:Average:900;testAE3 CYL1 LINER 2 TEM:3706:-:Average:900
AE3 CYL1 VC EXH TEMP:3501:  C:Average:900;testAE3 CYL1 VC EXH TEMP:3501:  C:Average:900
AE3 CYL1 VD EXH TEMP:3502:  C:Average:900;testAE3 CYL1 VD EXH TEMP:3502:  C:Average:900
AE3 CYL2 LINER 1 TEM:3707:  C:Average:900;testAE3 CYL2 LINER 1 TEM:3707:  C:Average:900
AE3 CYL2 LINER 1 TEM:3709:-:Average:900;testAE3 CYL2 LINER 1 TEM:3709:-:Average:900
AE3 CYL2 LINER 2 TEM:3711:  C:Average:900;testAE3 CYL2 LINER 2 TEM:3711:  C:Average:900
AE3 CYL2 LINER 2 TEM:3713:-:Average:900;testAE3 CYL2 LINER 2 TEM:3713:-:Average:900
AE3 CYL2 VC EXH TEMP:3503:  C:Average:900;testAE3 CYL2 VC EXH TEMP:3503:  C:Average:900
AE3 CYL2 VD EXH TEMP:3504:  C:Average:900;testAE3 CYL2 VD EXH TEMP:3504:  C:Average:900
AE3 CYL3 LINER 1 TEM:3714:  C:Average:900;testAE3 CYL3 LINER 1 TEM:3714:  C:Average:900
AE3 CYL3 LINER 1 TEM:3716:-:Average:900;testAE3 CYL3 LINER 1 TEM:3716:-:Average:900
AE3 CYL3 LINER 2 TEM:3717:  C:Average:900;testAE3 CYL3 LINER 2 TEM:3717:  C:Average:900
AE3 CYL3 LINER 2 TEM:3719:-:Average:900;testAE3 CYL3 LINER 2 TEM:3719:-:Average:900
AE3 CYL3 VC EXH TEMP:3505:  C:Average:900;testAE3 CYL3 VC EXH TEMP:3505:  C:Average:900
AE3 CYL3 VD EXH TEMP:3506:  C:Average:900;testAE3 CYL3 VD EXH TEMP:3506:  C:Average:900
AE3 CYL4 LINER 1 TEM:3721:  C:Average:900;testAE3 CYL4 LINER 1 TEM:3721:  C:Average:900
AE3 CYL4 LINER 1 TEM:3723:-:Average:900;testAE3 CYL4 LINER 1 TEM:3723:-:Average:900
AE3 CYL4 LINER 2 TEM:3724:  C:Average:900;testAE3 CYL4 LINER 2 TEM:3724:  C:Average:900
AE3 CYL4 LINER 2 TEM:3726:-:Average:900;testAE3 CYL4 LINER 2 TEM:3726:-:Average:900
AE3 CYL4 VC EXH TEMP:3507:  C:Average:900;testAE3 CYL4 VC EXH TEMP:3507:  C:Average:900
AE3 CYL4 VD EXH TEMP:3508:  C:Average:900;testAE3 CYL4 VD EXH TEMP:3508:  C:Average:900
AE3 CYL5 LINER 1 TEM:3727:  C:Average:900;testAE3 CYL5 LINER 1 TEM:3727:  C:Average:900
AE3 CYL5 LINER 1 TEM:3729:-:Average:900;testAE3 CYL5 LINER 1 TEM:3729:-:Average:900
AE3 CYL5 LINER 2 TEM:3731:  C:Average:900;testAE3 CYL5 LINER 2 TEM:3731:  C:Average:900
AE3 CYL5 LINER 2 TEM:3733:-:Average:900;testAE3 CYL5 LINER 2 TEM:3733:-:Average:900
AE3 CYL5 VC EXH TEMP:3509:  C:Average:900;testAE3 CYL5 VC EXH TEMP:3509:  C:Average:900
AE3 CYL5 VD EXH TEMP:3510:  C:Average:900;testAE3 CYL5 VD EXH TEMP:3510:  C:Average:900
AE3 CYL6 LINER 1 TEM:3734:  C:Average:900;testAE3 CYL6 LINER 1 TEM:3734:  C:Average:900
AE3 CYL6 LINER 1 TEM:3736:-:Average:900;testAE3 CYL6 LINER 1 TEM:3736:-:Average:900
AE3 CYL6 LINER 2 TEM:3737:  C:Average:900;testAE3 CYL6 LINER 2 TEM:3737:  C:Average:900
AE3 CYL6 LINER 2 TEM:3739:-:Average:900;testAE3 CYL6 LINER 2 TEM:3739:-:Average:900
AE3 CYL6 VC EXH TEMP:3511:  C:Average:900;testAE3 CYL6 VC EXH TEMP:3511:  C:Average:900
AE3 CYL6 VD EXH TEMP:3512:  C:Average:900;testAE3 CYL6 VD EXH TEMP:3512:  C:Average:900
AE3 CYLINDER LINERS:3701_S:C:Average:900;testAE3 CYLINDER LINERS:3701_S:C:Average:900
AE3 ENG SPEED BACK U:3747:RPM:Average:900;testAE3 ENG SPEED BACK U:3747:RPM:Average:900
AE3 ENG SPEED BACKUP:3757:-:Average:900;testAE3 ENG SPEED BACKUP:3757:-:Average:900
AE3 ENG SPEED:3745:RPM:Average:900;testAE3 ENG SPEED:3745:RPM:Average:900
AE3 ENG SPEED:3746:-:Average:3600;testAE3 ENG SPEED:3746:-:Average:3600
AE3 ENG SPEED:3746:-:Average:900;testAE3 ENG SPEED:3746:-:Average:900
AE3 ENG SPEED:3746:-:Raw data:900;testAE3 ENG SPEED:3746:-:Raw data:900
AE3 EXH CA INLET 1:3541:  C:Average:900;testAE3 EXH CA INLET 1:3541:  C:Average:900
AE3 EXH CA INLET 2:3542:  C:Average:900;testAE3 EXH CA INLET 2:3542:  C:Average:900
AE3 EXH CA OUTET 1:3543:  C:Average:900;testAE3 EXH CA OUTET 1:3543:  C:Average:900
AE3 EXH MEAN VALUE:3591:  C:Average:3600;testAE3 EXH MEAN VALUE:3591:  C:Average:3600
AE3 EXH MEAN VALUE:3591:  C:Average:900;testAE3 EXH MEAN VALUE:3591:  C:Average:900
AE3 EXH MEAN VALUE:3591:  C:Raw data:900;testAE3 EXH MEAN VALUE:3591:  C:Raw data:900
AE3 FO INLET PRESS:3603:Bar:Average:900;testAE3 FO INLET PRESS:3603:Bar:Average:900
AE3 FO INLET TEMP:3605:  C:Average:900;testAE3 FO INLET TEMP:3605:  C:Average:900
AE3 FREQUENCY:5532:Hz:Average:900;testAE3 FREQUENCY:5532:Hz:Average:900
AE3 FUEL RACK POSIT:3742:mm:Average:3600;testAE3 FUEL RACK POSIT:3742:mm:Average:3600
AE3 FUEL RACK POSIT:3742:mm:Average:900;testAE3 FUEL RACK POSIT:3742:mm:Average:900
AE3 FUEL RACK POSIT:3742:mm:Raw data:900;testAE3 FUEL RACK POSIT:3742:mm:Raw data:900
AE3 HT CAC OTL TEMP:3644:  C:Average:900;testAE3 HT CAC OTL TEMP:3644:  C:Average:900
AE3 HT INLET PRESS:3631:Bar:Average:900;testAE3 HT INLET PRESS:3631:Bar:Average:900
AE3 HT INLET TEMP:3635:  C:Average:900;testAE3 HT INLET TEMP:3635:  C:Average:900
AE3 HT OUTLET TEMP:3637:  C:Average:900;testAE3 HT OUTLET TEMP:3637:  C:Average:900
AE3 HT OUTLET TEMP:3637_S:C:Average:900;testAE3 HT OUTLET TEMP:3637_S:C:Average:900
AE3 HT OUTLET TEMP:3639:-:Average:900;testAE3 HT OUTLET TEMP:3639:-:Average:900
AE3 HT OUTLET TEMP:3641:  C:Average:900;testAE3 HT OUTLET TEMP:3641:  C:Average:900
AE3 HT OUTLET TEMP:3643:-:Average:900;testAE3 HT OUTLET TEMP:3643:-:Average:900
AE3 LO BACKUP PRESS:3756:-:Average:900;testAE3 LO BACKUP PRESS:3756:-:Average:900
AE3 LO INLET PRESS:3612:Bar:Average:900;testAE3 LO INLET PRESS:3612:Bar:Average:900
AE3 LO INLET PRESS:3614:-:Average:900;testAE3 LO INLET PRESS:3614:-:Average:900
AE3 LO INLET TEMP:3617:  C:Average:900;testAE3 LO INLET TEMP:3617:  C:Average:900
AE3 LT CAC INL TEMP:3645:  C:Average:900;testAE3 LT CAC INL TEMP:3645:  C:Average:900
AE3 LT CAC INLET PRE:3633:Bar:Average:900;testAE3 LT CAC INLET PRE:3633:Bar:Average:900
AE3 LT CAC OTL TEMP:3647:  C:Average:900;testAE3 LT CAC OTL TEMP:3647:  C:Average:900
AE3 LT LOC OTL TEMP:3648:  C:Average:900;testAE3 LT LOC OTL TEMP:3648:  C:Average:900
AE3 POWER:5533:kW:Average:900;testAE3 POWER:5533:kW:Average:900
AE3 RUNNING:35004:-:Average:3600;testAE3 RUNNING:35004:-:Average:3600
AE3 RUNNING:35004:-:Raw data:900;testAE3 RUNNING:35004:-:Raw data:900
AE3 RUNNING:3769:-:Average:3600;testAE3 RUNNING:3769:-:Average:3600
AE3 RUNNING:3769:-:Raw data:900;testAE3 RUNNING:3769:-:Raw data:900
AE3 SCR CF54 RED AG:3941:l/h:Average:900;testAE3 SCR CF54 RED AG:3941:l/h:Average:900
AE3 SCR CP153 COMP A:3918:-:Average:900;testAE3 SCR CP153 COMP A:3918:-:Average:900
AE3 SCR CP154 COMP A:3917:-:Average:900;testAE3 SCR CP154 COMP A:3917:-:Average:900
AE3 SCR CP53 RED AG:3942:bar:Average:900;testAE3 SCR CP53 RED AG:3942:bar:Average:900
AE3 SCR CP58 DIFF PR:3938:mbar:Average:900;testAE3 SCR CP58 DIFF PR:3938:mbar:Average:900
AE3 SCR CT55 TEMP IN:3939:C:Average:900;testAE3 SCR CT55 TEMP IN:3939:C:Average:900
AE3 SCR CT56 TEMP OT:3940:C:Average:900;testAE3 SCR CT56 TEMP OT:3940:C:Average:900
AE3 SCR FUSE FAULT:3946:-:Average:900;testAE3 SCR FUSE FAULT:3946:-:Average:900
AE3 SCR GAS SAMPLE L:3922:-:Average:900;testAE3 SCR GAS SAMPLE L:3922:-:Average:900
AE3 SCR GAS SAMPLE P:3921:-:Average:900;testAE3 SCR GAS SAMPLE P:3921:-:Average:900
AE3 SCR LOAD SIGNAL:3923:-:Average:900;testAE3 SCR LOAD SIGNAL:3923:-:Average:900
AE3 SCR NOX LEVEL:3944:ppm:Average:900;testAE3 SCR NOX LEVEL:3944:ppm:Average:900
AE3 SCR NOX LEVEL:3944CALC:g/kWh:Average:900;testAE3 SCR NOX LEVEL:3944CALC:g/kWh:Average:900
AE3 TC SPEED:3748:RPM:Average:3600;testAE3 TC SPEED:3748:RPM:Average:3600
AE3 TC SPEED:3748:RPM:Average:900;testAE3 TC SPEED:3748:RPM:Average:900
AE3 TC SPEED:3748:RPM:Raw data:900;testAE3 TC SPEED:3748:RPM:Raw data:900
AE3 VOLTAGE:5531:V:Average:900;testAE3 VOLTAGE:5531:V:Average:900
AE4 CA OTL CAC PRESS:4649:Bar:Average:900;testAE4 CA OTL CAC PRESS:4649:Bar:Average:900
AE4 CA OTL CAC TEMP:4654:  C:Average:900;testAE4 CA OTL CAC TEMP:4654:  C:Average:900
AE4 CAC PRESS DIFF:4652:mBar:Average:900;testAE4 CAC PRESS DIFF:4652:mBar:Average:900
AE4 CYL EXHAUST T:4501_S:C:Average:900;testAE4 CYL EXHAUST T:4501_S:C:Average:900
AE4 CYL1 LINER 1 TEM:4701:  C:Average:900;testAE4 CYL1 LINER 1 TEM:4701:  C:Average:900
AE4 CYL1 LINER 1 TEM:4703:-:Average:900;testAE4 CYL1 LINER 1 TEM:4703:-:Average:900
AE4 CYL1 LINER 2 TEM:4704:  C:Average:900;testAE4 CYL1 LINER 2 TEM:4704:  C:Average:900
AE4 CYL1 LINER 2 TEM:4706:-:Average:900;testAE4 CYL1 LINER 2 TEM:4706:-:Average:900
AE4 CYL1 VC EXH TEMP:4501:  C:Average:900;testAE4 CYL1 VC EXH TEMP:4501:  C:Average:900
AE4 CYL1 VD EXH TEMP:4502:  C:Average:900;testAE4 CYL1 VD EXH TEMP:4502:  C:Average:900
AE4 CYL2 LINER 1 TEM:4707:  C:Average:900;testAE4 CYL2 LINER 1 TEM:4707:  C:Average:900
AE4 CYL2 LINER 1 TEM:4709:-:Average:900;testAE4 CYL2 LINER 1 TEM:4709:-:Average:900
AE4 CYL2 LINER 2 TEM:4711:  C:Average:900;testAE4 CYL2 LINER 2 TEM:4711:  C:Average:900
AE4 CYL2 LINER 2 TEM:4713:-:Average:900;testAE4 CYL2 LINER 2 TEM:4713:-:Average:900
AE4 CYL2 VC EXH TEMP:4503:  C:Average:900;testAE4 CYL2 VC EXH TEMP:4503:  C:Average:900
AE4 CYL2 VD EXH TEMP:4504:  C:Average:900;testAE4 CYL2 VD EXH TEMP:4504:  C:Average:900
AE4 CYL3 LINER 1 TEM:4714:  C:Average:900;testAE4 CYL3 LINER 1 TEM:4714:  C:Average:900
AE4 CYL3 LINER 1 TEM:4716:-:Average:900;testAE4 CYL3 LINER 1 TEM:4716:-:Average:900
AE4 CYL3 LINER 2 TEM:4717:  C:Average:900;testAE4 CYL3 LINER 2 TEM:4717:  C:Average:900
AE4 CYL3 LINER 2 TEM:4719:-:Average:900;testAE4 CYL3 LINER 2 TEM:4719:-:Average:900
AE4 CYL3 VC EXH TEMP:4505:  C:Average:900;testAE4 CYL3 VC EXH TEMP:4505:  C:Average:900
AE4 CYL3 VD EXH TEMP:4506:  C:Average:900;testAE4 CYL3 VD EXH TEMP:4506:  C:Average:900
AE4 CYL4 LINER 1 TEM:4721:  C:Average:900;testAE4 CYL4 LINER 1 TEM:4721:  C:Average:900
AE4 CYL4 LINER 1 TEM:4723:-:Average:900;testAE4 CYL4 LINER 1 TEM:4723:-:Average:900
AE4 CYL4 LINER 2 TEM:4724:  C:Average:900;testAE4 CYL4 LINER 2 TEM:4724:  C:Average:900
AE4 CYL4 LINER 2 TEM:4726:-:Average:900;testAE4 CYL4 LINER 2 TEM:4726:-:Average:900
AE4 CYL4 VC EXH TEMP:4507:  C:Average:900;testAE4 CYL4 VC EXH TEMP:4507:  C:Average:900
AE4 CYL4 VD EXH TEMP:4508:  C:Average:900;testAE4 CYL4 VD EXH TEMP:4508:  C:Average:900
AE4 CYL5 LINER 1 TEM:4727:  C:Average:900;testAE4 CYL5 LINER 1 TEM:4727:  C:Average:900
AE4 CYL5 LINER 1 TEM:4729:-:Average:900;testAE4 CYL5 LINER 1 TEM:4729:-:Average:900
AE4 CYL5 LINER 2 TEM:4731:  C:Average:900;testAE4 CYL5 LINER 2 TEM:4731:  C:Average:900
AE4 CYL5 LINER 2 TEM:4733:-:Average:900;testAE4 CYL5 LINER 2 TEM:4733:-:Average:900
AE4 CYL5 VC EXH TEMP:4509:  C:Average:900;testAE4 CYL5 VC EXH TEMP:4509:  C:Average:900
AE4 CYL5 VD EXH TEMP:4510:  C:Average:900;testAE4 CYL5 VD EXH TEMP:4510:  C:Average:900
AE4 CYL6 LINER 1 TEM:4734:  C:Average:900;testAE4 CYL6 LINER 1 TEM:4734:  C:Average:900
AE4 CYL6 LINER 1 TEM:4736:-:Average:900;testAE4 CYL6 LINER 1 TEM:4736:-:Average:900
AE4 CYL6 LINER 2 TEM:4737:  C:Average:900;testAE4 CYL6 LINER 2 TEM:4737:  C:Average:900
AE4 CYL6 LINER 2 TEM:4739:-:Average:900;testAE4 CYL6 LINER 2 TEM:4739:-:Average:900
AE4 CYL6 VC EXH TEMP:4511:  C:Average:900;testAE4 CYL6 VC EXH TEMP:4511:  C:Average:900
AE4 CYL6 VD EXH TEMP:4512:  C:Average:900;testAE4 CYL6 VD EXH TEMP:4512:  C:Average:900
AE4 CYLINDER LINERS:4701_S:C:Average:900;testAE4 CYLINDER LINERS:4701_S:C:Average:900
AE4 ENG SPEED BACK U:4747:RPM:Average:900;testAE4 ENG SPEED BACK U:4747:RPM:Average:900
AE4 ENG SPEED:4745:RPM:Average:900;testAE4 ENG SPEED:4745:RPM:Average:900
AE4 ENG SPEED:4746:-:Average:3600;testAE4 ENG SPEED:4746:-:Average:3600
AE4 ENG SPEED:4746:-:Average:900;testAE4 ENG SPEED:4746:-:Average:900
AE4 ENG SPEED:4746:-:Raw data:900;testAE4 ENG SPEED:4746:-:Raw data:900
AE4 EXH CA INLET 1:4541:  C:Average:900;testAE4 EXH CA INLET 1:4541:  C:Average:900
AE4 EXH CA INLET 2:4542:  C:Average:900;testAE4 EXH CA INLET 2:4542:  C:Average:900
AE4 EXH CA OUTET 1:4543:  C:Average:900;testAE4 EXH CA OUTET 1:4543:  C:Average:900
AE4 EXH MEAN VALUE:4591:  C:Average:3600;testAE4 EXH MEAN VALUE:4591:  C:Average:3600
AE4 EXH MEAN VALUE:4591:  C:Average:900;testAE4 EXH MEAN VALUE:4591:  C:Average:900
AE4 EXH MEAN VALUE:4591:  C:Raw data:900;testAE4 EXH MEAN VALUE:4591:  C:Raw data:900
AE4 FO INLET PRESS:4603:Bar:Average:900;testAE4 FO INLET PRESS:4603:Bar:Average:900
AE4 FO INLET TEMP:4605:  C:Average:900;testAE4 FO INLET TEMP:4605:  C:Average:900
AE4 FREQUENCY:5542:Hz:Average:900;testAE4 FREQUENCY:5542:Hz:Average:900
AE4 FUEL RACK POSIT:4742:mm:Average:3600;testAE4 FUEL RACK POSIT:4742:mm:Average:3600
AE4 FUEL RACK POSIT:4742:mm:Average:900;testAE4 FUEL RACK POSIT:4742:mm:Average:900
AE4 FUEL RACK POSIT:4742:mm:Raw data:900;testAE4 FUEL RACK POSIT:4742:mm:Raw data:900
AE4 HT CAC OTL TEMP:4644:  C:Average:900;testAE4 HT CAC OTL TEMP:4644:  C:Average:900
AE4 HT INLET PRESS:4631:Bar:Average:900;testAE4 HT INLET PRESS:4631:Bar:Average:900
AE4 HT INLET TEMP:4635:  C:Average:900;testAE4 HT INLET TEMP:4635:  C:Average:900
AE4 HT OUTLET TEMP:4637:  C:Average:900;testAE4 HT OUTLET TEMP:4637:  C:Average:900
AE4 HT OUTLET TEMP:4637_S:C:Average:900;testAE4 HT OUTLET TEMP:4637_S:C:Average:900
AE4 HT OUTLET TEMP:4639:-:Average:900;testAE4 HT OUTLET TEMP:4639:-:Average:900
AE4 HT OUTLET TEMP:4641:  C:Average:900;testAE4 HT OUTLET TEMP:4641:  C:Average:900
AE4 HT OUTLET TEMP:4643:-:Average:900;testAE4 HT OUTLET TEMP:4643:-:Average:900
AE4 LO INLET PRESS:4612:Bar:Average:900;testAE4 LO INLET PRESS:4612:Bar:Average:900
AE4 LO INLET PRESS:4614:-:Average:900;testAE4 LO INLET PRESS:4614:-:Average:900
AE4 LO INLET TEMP:4617:  C:Average:900;testAE4 LO INLET TEMP:4617:  C:Average:900
AE4 LT CAC INL TEMP:4645:  C:Average:900;testAE4 LT CAC INL TEMP:4645:  C:Average:900
AE4 LT CAC INLET PRE:4633:Bar:Average:900;testAE4 LT CAC INLET PRE:4633:Bar:Average:900
AE4 LT CAC OTL TEMP:4647:  C:Average:900;testAE4 LT CAC OTL TEMP:4647:  C:Average:900
AE4 LT LOC OTL TEMP:4648:  C:Average:900;testAE4 LT LOC OTL TEMP:4648:  C:Average:900
AE4 POWER:5543:kW:Average:900;testAE4 POWER:5543:kW:Average:900
AE4 RUNNING:45004:-:Average:3600;testAE4 RUNNING:45004:-:Average:3600
AE4 RUNNING:45004:-:Raw data:900;testAE4 RUNNING:45004:-:Raw data:900
AE4 RUNNING:4769:-:Average:3600;testAE4 RUNNING:4769:-:Average:3600
AE4 RUNNING:4769:-:Raw data:900;testAE4 RUNNING:4769:-:Raw data:900
AE4 SCR CF54 RED AG:4941:l/h:Average:900;testAE4 SCR CF54 RED AG:4941:l/h:Average:900
AE4 SCR CP153 COMP A:4918:-:Average:900;testAE4 SCR CP153 COMP A:4918:-:Average:900
AE4 SCR CP154 COMP A:4917:-:Average:900;testAE4 SCR CP154 COMP A:4917:-:Average:900
AE4 SCR CP53 RED AG:4942:bar:Average:900;testAE4 SCR CP53 RED AG:4942:bar:Average:900
AE4 SCR CP58 DIFF PR:4938:mbar:Average:900;testAE4 SCR CP58 DIFF PR:4938:mbar:Average:900
AE4 SCR CT55 TEMP IN:4939:C:Average:900;testAE4 SCR CT55 TEMP IN:4939:C:Average:900
AE4 SCR CT56 TEMP OT:4940:C:Average:900;testAE4 SCR CT56 TEMP OT:4940:C:Average:900
AE4 SCR FUSE FAULT:4946:-:Average:900;testAE4 SCR FUSE FAULT:4946:-:Average:900
